,gene,TA_I,gene,I_II,gene,I_III,gene,II_III,gene,III_IV
48,PRTN3,-0.12939518,RRM2,0.001358236,FXYD4,-0.012275194,NEK2,-0.078380123,BID,-0.016915942
49,TOP2A,-0.125178197,NEK2,0.001873691,CCNB2,-0.011946975,HS3ST5,-0.076833537,AKAP6,-0.016202634
50,IL17C,-0.117341608,CDK5R2,0.002045135,CCNA2,-0.011801294,MFAP4,-0.074511001,RHEB,-0.015717473
51,EXD1,-0.103945446,CENPF,0.002102531,ERCC6L,-0.011757118,CNTN5,-0.072693466,PSMB2,-0.015650386
52,MMP8,-0.103279282,AHSG,0.004008915,TOP2A,-0.009362411,CNGA3,-0.071645293,RPL22L1,-0.014915231
53,UCN2,-0.096257741,NUF2,0.005559447,BUB1,-0.005835539,KIF14,-0.063879506,CARS,-0.014733387
54,POU3F2,-0.089992879,STIL,0.010443969,PTTG1,-0.005666775,CENPE,-0.055683804,YARS2,-0.01196789
55,ZFP42,-0.088366326,CCNA2,0.011626,RRM2,-0.005143176,ERCC6L,-0.047114462,H2AFX,-0.01100274
56,DNAI2,-0.080887617,RPL22L1,0.011732722,SKA1,-0.005004997,SKA1,-0.046510647,CCNB1,-0.010628206
57,OIP5,-0.067836529,CCNB1,0.016198999,SPSB2,-0.004395482,EDA,-0.04622031,AURKA,-0.008667826
58,HIST1H3C,-0.067618045,POU3F2,0.019071406,CHEK2,-0.001435292,TOP2A,-0.046118942,UBE2C,-0.008638218
59,CENPF,-0.067087462,H2AFX,0.019774295,ORC6L,-0.001082024,IGF2BP3,-0.044276447,CHEK2,-0.008465853
60,GDNF,-0.066480807,LHB,0.021971687,KIF14,-0.000529011,CCNA2,-0.038775547,UBE2T,-0.005724561
61,B3GNT6,-0.060462641,PYCARD,0.024198888,CCNB1,-0.000238932,HIST1H3C,-0.037909463,CDK5R2,-0.00543325
62,CENPE,-0.059116583,CHEK2,0.026028185,CENPF,-0.000216822,NR5A1,-0.029641532,STIL,-0.004766881
63,PIK3C2G,-0.056954233,TOP2A,0.031159948,TNNT2,0.001181632,PSMA4,-0.029022214,NUF2,-0.002821605
64,ORC6L,-0.05363976,MYBPC1,0.03216283,STIL,0.002807736,BUB1,-0.02853296,KIF18A,-0.002397086
65,ONECUT1,-0.053385515,SPSB2,0.039068478,AURKA,0.004197244,CEP55,-0.028027295,SPSB2,-0.001905605
66,GDPD5,-0.053252964,GDPD5,0.040043411,RPL22L1,0.005510256,CHEK2,-0.026995909,UBE2S,0.00266081
67,NMUR2,-0.049176087,CNGA3,0.042974251,NMUR2,0.005574442,GDPD5,-0.023442176,ACVR2A,0.005353606
68,YSK4,-0.046348629,BID,0.044910868,H2AFX,0.005754671,CENPF,-0.022301993,CENPA,0.008601509
69,CHEK2,-0.043274819,YARS2,0.046596194,NEK2,0.006597043,S100A11,-0.021990129,B3GNT6,0.012274911
70,BID,-0.042523228,S100A11,0.048688527,NTF4,0.007170012,ARPC3,-0.021358603,ORC6L,0.012433121
71,RPL22L1,-0.031014835,HIST1H3C,0.050910206,PYCARD,0.007669999,PTTG1,-0.019033986,LEF1,0.014698264
72,CARS,-0.030431699,MX2,0.051335953,UBE2T,0.008148494,RRM2,-0.018439832,SNORA63,0.019767075
73,PYCARD,-0.026134525,PPP1R1B,0.060794219,PSMA4,0.00859407,YARS,-0.01838809,EDA,0.022627199
