,gene,TA_I,gene,I_II,gene,I_III,gene,II_III,gene,III_IV
48,YARS2,8.71E-05,CHEK2,-7.32E-05,PSMA4,-0.000236152,ACVRL1,0.000140408,SPSB2,-7.80E-05
49,GDNF,8.94E-05,PTTG1,-6.82E-05,YARS,-0.000225024,H2AFX,0.000198757,H2AFX,-5.87E-05
50,CLEC4M,9.85E-05,PYCARD,-3.46E-05,NEK2,-0.000217531,UBE2C,0.000208784,PYCARD,-4.74E-05
51,CENPF,9.98E-05,H2AFX,2.30E-06,TOP2A,-0.000214955,PYCARD,0.000287824,AURKA,-4.10E-05
52,GALNTL6,0.000125331,AURKA,1.17E-05,ARPC3,-0.000204689,GDPD5,0.000532362,UBE2T,-2.07E-05
53,RHEB,0.000130399,ORC6L,4.83E-05,PSMB2,-0.000196716,SPSB2,0.000668171,CCNB1,-3.81E-06
54,MX2,0.000138344,RPL22L1,4.84E-05,KIF14,-0.000196342,GALNTL6,0.000756986,CHEK2,1.11E-05
55,BID,0.00014343,SPSB2,7.13E-05,CARS,-0.000196233,IL17C,0.001256008,STIL,3.47E-05
56,NPFFR2,0.00014566,UBE2C,9.04E-05,ACVR2A,-0.000188515,HIST1H3C,0.001668169,UBE2S,4.30E-05
57,S100A11,0.00016478,KIF18A,9.63E-05,RHEB,-0.000159424,CNGA3,0.002040771,CENPF,0.000104954
58,POU3F2,0.000165554,GALNTL6,0.000100891,CCNA2,-0.000156153,SNORA63,0.003443564,PTTG1,0.000112478
59,YARS,0.00016951,CLEC4M,0.000116579,HM13,-0.000151439,FXYD4,0.003692705,RRM2,0.000122581
60,CARS,0.000174073,UBE2T,0.000131464,S100A11,-0.000148023,KRT4,0.006985839,C19orf40,0.00012332
61,GDPD5,0.000178156,UBE2S,0.000191627,MX2,-0.000143829,INSM1,0.007238084,ORC6L,0.000134055
62,CEACAM8,0.000179812,OXT,0.000269883,BID,-0.000139955,DUOXA1,0.007314369,IL17C,0.000162661
63,ARPC3,0.000184622,C19orf40,0.000537799,CENPE,-0.000126972,ZFP42,0.008541698,CCNA2,0.000169146
64,HM13,0.000185179,CDH10,0.003234356,GDPD5,-9.39E-05,INHBE,0.00900186,TOP2A,0.000208241
65,PSMB2,0.000190531,DUOXA1,0.00627311,RRM2,-9.18E-05,OTX1,0.011055875,NMUR2,0.000358073
66,PSMA4,0.000198114,TFF1,0.008332756,YARS2,-8.86E-05,MAPT,0.012194717,MC4R,0.004384842
67,CENPE,0.000214594,DRP2,0.010263351,ERCC6L,-8.49E-05,PAK7,0.012340465,AKAP6,0.004670685
68,RRM2,0.000250346,PRKAA2,0.016226831,CENPF,-7.98E-05,NUF2,0.013188801,ACVR2A,0.005089312
69,TOP2A,0.000253227,NUF2,0.016230422,CCNB1,-5.64E-05,PRKAA2,0.013405673,UBE2C,0.005458553
70,DNAI2,0.000254992,SLC9A3R2,0.016291257,CHEK2,-4.62E-05,IRF6,0.01344869,CEP55,0.005559292
71,ACVR2A,0.000268095,DNAI2,0.016581545,STIL,-4.39E-05,NCAPG,0.013680359,SKA1,0.005563129
72,CCNA2,0.000270023,NCAPG,0.016820585,PTTG1,-2.83E-05,POU3F2,0.013800133,KIF18A,0.005566823
73,NCAPG,0.000276045,CENPA,0.017197986,BUB1,-1.99E-05,CENPA,0.01391711,CCNB2,0.005577196
74,PRKAA2,0.000309482,POU3F2,0.01722499,PYCARD,-7.01E-06,SLC9A3R2,0.013919423,ERCC6L,0.005578389
75,SLC9A3R2,0.000338788,OIP5,0.017331121,AURKA,-6.51E-07,OIP5,0.013970058,BUB1,0.005765385
76,CCNB2,0.000358253,NPFFR2,0.018163391,SKA1,6.30E-06,DNAI2,0.014030612,CENPE,0.005766686
77,PTTG1,0.000380931,HRG,0.037752918,H2AFX,7.86E-06,COL2A1,0.01470988,NEK2,0.005942079
78,CEP55,0.000396631,IVL,0.041345552,RPL22L1,1.71E-05,LHB,0.014886798,KIF14,0.005947091
79,NUF2,0.000406027,CALCA,0.042212759,CEP55,1.89E-05,B3GNT6,0.014927756,HIST1H3C,0.00735544
80,AKAP6,0.00040706,PCDH15,0.045305821,CLEC4M,2.76E-05,NPFFR2,0.0153483,CNTN5,0.007459029
81,EDA,0.000408801,PRTN3,0.047880783,ORC6L,3.17E-05,EXD1,0.016128757,NTF4,0.008063655
82,SKA1,0.000412309,GABRA2,0.050410096,SPSB2,7.08E-05,LRFN2,0.016130866,EXD1,0.010643134
83,NEK2,0.00042346,DPP10,0.053985729,UBE2T,7.38E-05,DRP2,0.022832218,CDH10,0.011137213
84,UBE2C,0.000453953,GDNF,0.063289925,GALNTL6,8.06E-05,PCDH15,0.061084901,LHB,0.01134394
85,ERCC6L,0.000470192,MC4R,0.064772773,UBE2S,0.000114377,C10orf90,0.076820134,B3GNT6,0.012154879
86,CENPA,0.000479122,SERPINB5,0.068245888,CCNB2,0.000153444,IGF2BP3,0.081625857,TTR,0.012570136
87,BUB1,0.000567717,PTPRQ,0.068477758,UBE2C,0.000259446,MYBPC1,0.081989313,ATP12A,0.012659105
88,KIF14,0.000600916,IGF2BP3,0.073869617,KIF18A,0.000260366,GRIA2,0.092219334,GDNF,0.014630543
89,AHSG,0.000862044,ADH4,0.075933828,C19orf40,0.000313267,GUCA1A,0.094335285,NPFFR2,0.014910296
90,YSK4,0.004746701,KRT4,0.076499857,PRKAA2,0.000442837,LEF1,0.094772279,DNAI2,0.01635183
91,PRTN3,0.004818862,SNORA63,0.080787893,NUF2,0.000489574,LHX9,0.105824289,PRKAA2,0.016418499
92,MAPT,0.00541825,MMP3,0.083239943,SLC9A3R2,0.000508105,UCN2,0.106626488,SLC9A3R2,0.016420752
93,GABRA3,0.006289787,AQP10,0.08447871,DNAI2,0.000672839,MUC15,0.106667048,MAPT,0.016503985
