,gene,TA_I,gene,I_II,gene,I_III,gene,II_III,gene,III_IV
48,SLC9A3R2,-0.000340488,ZFP42,0.000339557,ORC6L,-1.64E-05,CCNA2,8.54E-05,PTTG1,-0.000145623
49,PRKAA2,-0.000311023,GDPD5,0.000643411,AURKA,-5.24E-06,TOP2A,9.53E-05,CENPF,-0.000135917
50,NCAPG,-0.000277409,SPSB2,0.000745374,PYCARD,1.05E-06,CLEC4M,9.75E-05,UBE2S,-5.56E-05
51,CCNA2,-0.000271381,GALNTL6,0.00084068,PTTG1,4.86E-05,EDA,0.000200913,STIL,-4.50E-05
52,ACVR2A,-0.000269421,OXT,0.001630681,CHEK2,5.42E-05,NMUR2,0.000201777,CHEK2,-1.45E-05
53,DNAI2,-0.000256244,ACVRL1,0.002430118,STIL,5.50E-05,HIST1H3C,0.000504714,CCNB1,4.90E-06
54,TOP2A,-0.000254496,DUOXA1,0.003114995,CCNB1,6.36E-05,CNTN5,0.001169467,UBE2T,2.69E-05
55,RRM2,-0.0002516,ADH4,0.005163903,YARS2,7.39E-05,ACVRL1,0.001311648,AURKA,5.31E-05
56,CENPE,-0.000215639,INHBE,0.008097052,GDPD5,9.18E-05,OXT,0.001462318,PYCARD,6.14E-05
57,PSMA4,-0.000199095,GABRA2,0.010897643,CEP55,9.27E-05,MC4R,0.001567432,H2AFX,7.60E-05
58,PSMB2,-0.000191474,DRP2,0.012683186,CENPF,0.000105988,IL17C,0.001779835,SPSB2,0.000101056
59,HM13,-0.000186095,MAPT,0.015833534,SKA1,0.000107588,INSM1,0.002730572,GDPD5,0.00013271
60,ARPC3,-0.000185534,NUF2,0.016260482,RRM2,0.000122215,DUOXA1,0.00587784,BID,0.000140374
61,CEACAM8,-0.000179926,PRKAA2,0.01650577,HM13,0.000137125,INHBE,0.006092407,YARS,0.000159508
62,GDPD5,-0.000179036,NCAPG,0.016701836,MX2,0.000142451,CNGA3,0.009763144,S100A11,0.000163835
63,CARS,-0.000174931,POU3F2,0.016759407,BID,0.000143268,SNORA63,0.011709101,PSMA4,0.000171624
64,YARS,-0.000170345,CENPA,0.01689653,S100A11,0.000149793,ZFP42,0.020362695,MX2,0.000186662
65,POU3F2,-0.000166401,OIP5,0.016930725,RHEB,0.000155736,POU3F2,0.021170685,RPL22L1,0.000198847
66,S100A11,-0.000165591,SLC9A3R2,0.017072896,BUB1,0.000167166,KRT4,0.021416588,CARS,0.000200458
67,NPFFR2,-0.000146355,DNAI2,0.017142705,PSMB2,0.000191568,NPFFR2,0.021616375,RHEB,0.000226019
68,BID,-0.000144132,NPFFR2,0.018325779,CARS,0.000200454,DNAI2,0.021935317,ARPC3,0.000235805
69,MX2,-0.000139021,IRF6,0.019504832,CCNA2,0.000202205,OIP5,0.021941562,YARS2,0.000238066
70,RHEB,-0.000131036,OTX1,0.029035883,ARPC3,0.000206077,CENPA,0.021953027,EDA,0.000266231
